regiao,ano,mes,avg_temp_ar,p50_temp_ar,p25_temp_ar,p75_temp_ar
South,2018,10,18.689509854129152,18.5,15.7,21.4
South,2018,11,21.24909211728549,21,18.1,24.2
South,2018,12,22.54251356210908,22.4,19.3,25.9
Southeast,2009,1,23.354983861522328,22.9,20.7,25.8
Southeast,2009,2,24.223570253422487,23.8,21.3,27
Southeast,2009,3,24.097858754358377,23.7,21.1,26.8
Southeast,2009,4,21.848783104164056,21.8,19.1,24.7
Southeast,2009,5,20.207841752990213,20,17.1,23.3
Southeast,2009,6,18.16851323596531,18.2,15,21.4
Southeast,2009,7,19.432017580577646,19.2,16.1,22.6
