regiao;estado;idade;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
NE;AL;90;4969;7869;7451;7309;7327;7430;7568;7745;7965;8212;8474;8742;9036
NE;SE;0-4;194910;179065;176626;174782;172796;171333;171360;170354;169375;169979;170136;169642;169911
NE;SE;5-9;213066;186408;183669;182559;181557;180691;178832;176413;174585;172611;171157;171195;170200
NE;SE;10-14;206322;210938;208435;202881;196834;191202;186913;184172;183054;182051;181180;179317;176894
NE;SE;15-19;201605;204731;206131;208452;210836;211939;210964;208467;202935;196910;191299;187027;184298
NE;SE;20-24;201947;203434;203455;202903;202199;201996;202656;204080;206414;208810;209938;208998;206551
NE;SE;25-29;197811;192020;194423;196514;198209;199382;199975;200047;199556;198918;198772;199476;200938
NE;SE;30-34;170079;172642;176698;180460;183896;186998;189752;192168;194277;195987;197182;197810;197923
NE;SE;35-39;146641;150538;153835;157807;162222;166684;170936;174962;178698;182119;185212;187963;190377
NE;SE;40-44;131501;137747;140378;142325;143983;145956;148608;151884;155821;160192;164613;168830;172825
NE;SE;45-49;110313;115515;119849;124211;128407;132165;135344;137952;139894;141557;143531;146169;149416
NE;SE;50-54;86349;92020;95676;99650;103846;108121;112366;116596;120862;124970;128656;131783;134360
NE;SE;55-59;69242;74810;77259;79746;82368;85255;88487;92029;95881;99948;104092;108213;112325
NE;SE;60-64;53746;59757;61889;63994;66103;68278;70550;72906;75293;77813;80588;83690;87090
NE;SE;65-69;39844;44539;46337;48337;50456;52567;54606;56606;58594;60595;62653;64803;67026
NE;SE;70-74;28880;33087;34034;34976;35995;37193;38627;40250;42053;43958;45866;47714;49542
NE;SE;75-79;19531;22496;23146;23947;24829;25709;26550;27382;28213;29111;30162;31403;32800
NE;SE;80-84;12503;15054;15185;15334;15544;15855;16286;16824;17475;18187;18894;19576;20252
